Human Signaling Network,16-Jan-14,,,
6196,RPS6KA2,5528,PPP2R5D,Pos
5595,MAPK3,4286,MITF,Pos
10010,TANK,7187,TRAF3,Phy
6134,RPL10,6167,RPL37,Phy
3065,HDAC1,1869,E2F1,Neg
6424,SFRP4,7474,WNT5A,Neg
23165,NUP205,348995,NUP43,Phy
4086,SMAD1,1386,ATF2,Pos
2255,FGF10,2549,GAB1,Phy
3696,ITGB8,55742,PARVA,Phy
1022,CDK7,8900,CCNA1,Neg
5580,PRKCD,8048,CSRP3,Pos
1432,MAPK14,4773,NFATC2,Neg
7132,TNFRSF1A,4792,NFKBIA,Neg
375,ARF1,1212,CLTB,Neg
5439,POLR2J,55806,HR,Phy
246778,IL27,7297,TYK2,Phy
7979,SHFM1,23198,PSME4,Phy
7157,TP53,9518,GDF15,Pos
64750,SMURF2,2321,FLT1,Neg
2189,FANCG,2187,FANCB,Phy
3678,ITGA5,89,ACTN3,Phy
25970,SH2B1,3265,HRAS,Pos
5829,PXN,7846,TUBA1A,Phy
6262,RYR2,774,CACNA1B,Phy
7414,VCL,7791,ZYX,Phy
2068,ERCC2,5438,POLR2I,Pos
1947,EFNB1,7074,TIAM1,Phy
3172,HNF4A,2671,GFER,Neg
6416,MAP2K4,5600,MAPK11,Pos
5530,PPP3CA,3708,ITPR1,Pos
836,CASP3,3918,LAMC2,Pos
324,APC,5423,POLB,Neg
5698,PSMB9,5694,PSMB6,Phy
2251,FGF6,3725,JUN,Pos
29895,MYLPF,57530,CGN,Phy
51231,VRK3,84107,ZIC4,Pos
6868,ADAM17,2064,ERBB2,Pos
2773,GNAI3,2534,FYN,Neg
10213,PSMD14,5686,PSMA5,Phy
5007,OSBP,151742,PPM1L,Pos
2688,GH1,5295,PIK3R1,Pos
1432,MAPK14,1050,CEBPA,Pos
6122,RPL3,6217,RPS16,Phy
695,BTK,5336,PLCG2,Pos
5786,PTPRA,9564,BCAR1,Neg
2965,GTF2H1,367,AR,Phy
5590,PRKCZ,1820,ARID3A,Pos
2042,EPHA3,140809,SRXN1,Pos
2268,FGR,602,BCL3,Pos
649,BMP1,79618,HMBOX1,Pos
5519,PPP2R1B,5590,PRKCZ,Neg
3383,ICAM1,3689,ITGB2,Pos
5594,MAPK1,8823,FGF16,Neg
4067,LYN,5321,PLA2G4A,Pos
4216,MAP3K4,8312,AXIN1,Phy
23235,SIK2,3667,IRS1,Pos
55755,CDK5RAP2,203068,TUBB,Phy
11065,UBE2C,991,CDC20,Phy
843,CASP10,8795,TNFRSF10B,Phy
6256,RXRA,10062,NR1H3,Pos
7252,TSHB,7253,TSHR,Pos
1616,DAXX,843,CASP10,Phy
5588,PRKCQ,3383,ICAM1,Pos
2060,EPS15,4233,MET,Phy
131890,GRK7,3577,CXCR1,Pos
5601,MAPK9,10018,BCL2L11,Pos
1452,CSNK1A1,7533,YWHAH,Pos
1781,DYNC1I2,9793,CKAP5,Phy
1482,NKX2-5,6722,SRF,Phy
1232,CCR3,2770,GNAI1,Pos
5594,MAPK1,4661,MYT1,Neg
5533,PPP3CC,29945,ANAPC4,Pos
4922,NTS,5595,MAPK3,Pos
1785,DNM2,4067,LYN,Phy
3918,LAMC2,207,AKT1,Pos
6093,ROCK1,4629,MYH11,Pos
2215,FCGR3B,919,CD247,Phy
6423,SFRP2,8324,FZD7,Neg
919,CD247,11184,MAP4K1,Pos
6717,SRI,6261,RYR1,Neg
940,CD28,5551,PRF1,Pos
2775,GNAO1,1856,DVL2,Pos
5197,PF4V1,1234,CCR5,Pos
4217,MAP3K5,7132,TNFRSF1A,Phy
1950,EGF,5515,PPP2CA,Pos
2073,ERCC5,2966,GTF2H2,Pos
5599,MAPK8,3659,IRF1,Pos
5903,RANBP2,10250,SRRM1,Pos
22897,CEP164,11190,CEP250,Phy
81929,SEH1L,10189,THOC4,Pos
7852,CXCR4,2771,GNAI2,Pos
1977,EIF4E,10605,PAIP1,Phy
5175,PECAM1,952,CD38,Pos
7010,TEK,9046,DOK2,Phy
2770,GNAI1,207,AKT1,Pos
5689,PSMB1,51434,ANAPC7,Pos
5530,PPP3CA,1452,CSNK1A1,Pos
5688,PSMA7,51035,UBXN1,Phy
472,ATM,1111,CHEK1,Pos
3688,ITGB1,6709,SPTAN1,Phy
11197,WIF1,81029,WNT5B,Neg
5584,PRKCI,27254,CSDC2,Pos
6198,RPS6KB1,5511,PPP1R8,Pos
10383,TUBB2C,1639,DCTN1,Phy
10928,RALBP1,5881,RAC3,Neg
783,CACNB2,782,CACNB1,Phy
387,RHOA,5338,PLD2,Pos
1437,CSF2,3716,JAK1,Pos
23140,ZZEF1,29882,ANAPC2,Phy
3458,IFNG,4843,NOS2,Pos
51377,UCHL5,5691,PSMB3,Phy
3717,JAK2,4843,NOS2,Pos
5116,PCNT,54820,NDE1,Phy
9918,NCAPD2,64151,NCAPG,Phy
4036,LRP2,3014,H2AFX,Pos
29979,UBQLN1,9320,TRIP12,Phy
4734,NEDD4,4914,NTRK1,Neg
2932,GSK3B,10152,ABI2,Pos
29760,BLNK,6464,SHC1,Pos
10627,MYL12A,4627,MYH9,Phy
10971,YWHAQ,5604,MAP2K1,Pos
1453,CSNK1D,5577,PRKAR2B,Phy
2908,NR3C1,5617,PRL,Neg
7048,TGFBR2,83939,EIF2A,Pos
5290,PIK3CA,10575,CCT4,Pos
5777,PTPN6,2185,PTK2B,Neg
5048,PAFAH1B1,7283,TUBG1,Phy
3040,HBA2,6156,RPL30,Phy
55143,CDCA8,29127,RACGAP1,Pos
3315,HSPB1,7324,UBE2E1,Pos
2775,GNAO1,5599,MAPK8,Pos
6227,RPS21,6234,RPS28,Phy
5582,PRKCG,6257,RXRB,Pos
10000,AKT3,598,BCL2L1,Pos
6616,SNAP25,6857,SYT1,Phy
10615,SPAG5,7157,TP53,Pos
5524,PPP2R4,5609,MAP2K7,Pos
10783,NEK6,10524,KAT5,Pos
660,BMX,8853,ASAP2,Pos
3600,IL15,3560,IL2RB,Pos
51177,PLEKHO1,3727,JUND,Neg
5048,PAFAH1B1,9702,CEP57,Phy
7324,UBE2E1,7321,UBE2D1,Pos
5685,PSMA4,5687,PSMA6,Phy
6850,SYK,974,CD79B,Phy
801,CALM1,83737,ITCH,Pos
22954,TRIM32,4622,MYH4,Phy
6229,RPS24,6231,RPS26,Phy
5691,PSMB3,29882,ANAPC2,Pos
8663,EIF3C,8662,EIF3B,Phy
6773,STAT2,30837,SOCS7,Pos
59285,CACNG6,775,CACNA1C,Phy
4775,NFATC3,4772,NFATC1,Pos
5048,PAFAH1B1,9793,CKAP5,Phy
919,CD247,2353,FOS,Pos
5532,PPP3CB,4776,NFATC4,Pos
3065,HDAC1,5970,RELA,Phy
156,ADRBK1,10663,CXCR6,Pos
10806,SDCCAG8,7840,ALMS1,Phy
348995,NUP43,6606,SMN1,Pos
1457,CSNK2A1,5600,MAPK11,Phy
5603,MAPK13,3925,STMN1,Pos
6778,STAT6,9655,SOCS5,Pos
867,CBL,3560,IL2RB,Neg
10771,ZMYND11,4790,NFKB1,Pos
4804,NGFR,53358,SHC3,Pos
9965,FGF19,1956,EGFR,Pos
3937,LCP2,7410,VAV2,Phy
5580,PRKCD,7408,VASP,Pos
10103,TSPAN1,3690,ITGB3,Phy
5829,PXN,81,ACTN4,Phy
4982,TNFRSF11B,3589,IL11,Neg
133,ADM,796,CALCA,Neg
2066,ERBB4,9542,NRG2,Phy
1437,CSF2,3576,IL8,Pos
2353,FOS,3569,IL6,Pos
10818,FRS2,2256,FGF11,Phy
1499,CTNNB1,1029,CDKN2A,Neg
5721,PSME2,246184,CDC26,Pos
3303,HSPA1A,7314,UBB,Neg
7157,TP53,3958,LGALS3,Pos
23566,LPAR3,7204,TRIO,Pos
5566,PRKACA,862,RUNX1T1,Pos
5154,PDGFA,5595,MAPK3,Pos
4780,NFE2L2,9817,KEAP1,Neg
6196,RPS6KA2,5511,PPP1R8,Pos
6772,STAT1,3586,IL10,Neg
3672,ITGA1,3695,ITGB7,Phy
103910,MYL12B,57530,CGN,Phy
3371,TNC,6714,SRC,Pos
23542,MAPK8IP2,5609,MAP2K7,Phy
4878,NPPA,2983,GUCY1B3,Pos
5295,PIK3R1,3932,LCK,Phy
7042,TGFB2,25759,SHC2,Pos
655,BMP7,1482,NKX2-5,Pos
10971,YWHAQ,4215,MAP3K3,Phy
2932,GSK3B,5567,PRKACB,Pos
5048,PAFAH1B1,80254,CEP63,Phy
6423,SFRP2,7484,WNT9B,Neg
10344,CCL26,1230,CCR1,Pos
5695,PSMB7,5705,PSMC5,Phy
9564,BCAR1,6416,MAP2K4,Pos
5295,PIK3R1,382,ARF6,Pos
3554,IL1R1,51295,ECSIT,Pos
9564,BCAR1,5290,PIK3CA,Pos
2533,FYB,51466,EVL,Phy
23786,BCL2L13,1329,COX5B,Pos
3416,IDE,8454,CUL1,Pos
3953,LEPR,3717,JAK2,Pos
652614,LOC652614,8302,KLRC4,Pos
3553,IL1B,8398,PLA2G6,Pos
9263,STK17A,2077,ERF,Pos
8600,TNFSF11,1513,CTSK,Pos
2961,GTF2E2,6874,TAF4,Phy
5610,EIF2AK2,3458,IFNG,Pos
4149,MAX,10397,NDRG1,Neg
80824,DUSP16,1432,MAPK14,Neg
3689,ITGB2,5747,PTK2,Pos
3984,LIMK1,1073,CFL2,Neg
4609,MYC,2597,GAPDH,Pos
7529,YWHAB,7534,YWHAZ,Pos
5698,PSMB9,8454,CUL1,Pos
5600,MAPK11,1050,CEBPA,Pos
5567,PRKACB,5829,PXN,Neg
10499,NCOA2,4023,LPL,Pos
5566,PRKACA,55869,HDAC8,Neg
5138,PDE2A,820,CAMP,Neg
1909,EDNRA,2357,FPR1,Phy
23468,CBX5,65123,INTS3,Phy
3921,RPSA,6208,RPS14,Phy
9263,STK17A,51096,UTP18,Pos
2069,EREG,6294,SAFB,Phy
11124,FAF1,843,CASP10,Phy
2056,EPO,4254,KITLG,Phy
4846,NOS3,11167,FSTL1,Neg
23233,EXOC6B,5716,PSMD10,Phy
6141,RPL18,6154,RPL26,Phy
867,CBL,3953,LEPR,Neg
2149,F2R,4790,NFKB1,Neg
5797,PTPRM,1499,CTNNB1,Pos
1401,CRP,7035,TFPI,Pos
6195,RPS6KA1,468,ATF4,Pos
11047,ADRM1,143471,PSMA8,Phy
30851,TAX1BP3,6900,CNTN2,Phy
3912,LAMB1,3672,ITGA1,Pos
5747,PTK2,4194,MDM4,Pos
6171,RPL41,6206,RPS12,Phy
781,CACNA2D1,8911,CACNA1I,Phy
2888,GRB14,5584,PRKCI,Pos
51433,ANAPC5,701,BUB1B,Phy
64682,ANAPC1,891,CCNB1,Neg
2958,GTF2A2,6908,TBP,Pos
627,BDNF,5781,PTPN11,Pos
6477,SIAH1,3725,JUN,Pos
6198,RPS6KB1,3661,IRF3,Pos
7157,TP53,2908,NR3C1,Neg
22995,CEP152,9702,CEP57,Phy
7157,TP53,3976,LIF,Pos
1667,DEFA1,1893,ECM1,Pos
10603,SH2B2,2889,RAPGEF1,Phy
10454,MAP3K7IP1,3654,IRAK1,Phy
51231,VRK3,54738,FEV,Pos
778,CACNA1F,785,CACNB4,Phy
6223,RPS19,6191,RPS4X,Phy
2256,FGF11,79885,HDAC11,Phy
6129,RPL7,6201,RPS7,Phy
4208,MEF2C,4908,NTF3,Pos
1796,DOK1,25,ABL1,Phy
80227,PAAF1,6921,TCEB1,Pos
3791,KDR,375,ARF1,Pos
4915,NTRK2,10603,SH2B2,Pos
5590,PRKCZ,4233,MET,Neg
5715,PSMD9,6502,SKP2,Phy
51371,POMP,9861,PSMD6,Phy
3206,HOXA10,3484,IGFBP1,Neg
5465,PPARA,1375,CPT1B,Pos
9861,PSMD6,8697,CDC23,Pos
5717,PSMD11,996,CDC27,Pos
9759,HDAC4,8338,HIST2H2AC,Pos
7124,TNF,8174,MADCAM1,Pos
7157,TP53,7421,VDR,Pos
8021,NUP214,25929,GEMIN5,Pos
80227,PAAF1,991,CDC20,Pos
23198,PSME4,51371,POMP,Phy
25998,IBTK,4067,LYN,Neg
3575,IL7R,596,BCL2,Pos
841,CASP8,9525,VPS4B,Pos
396,ARHGDIA,5879,RAC1,Neg
7157,TP53,5159,PDGFRB,Neg
10023,FRAT1,2932,GSK3B,Neg
2033,EP300,2625,GATA3,Pos
6209,RPS15,100291837,LOC100291837,Phy
6256,RXRA,335,APOA1,Pos
1032,CDKN2D,4193,MDM2,Phy
2264,FGFR4,8048,CSRP3,Pos
84513,PPAPDC1B,1673,DEFB4,Pos
4193,MDM2,890,CCNA2,Neg
6160,RPL31,6232,RPS27,Phy
2247,FGF2,3339,HSPG2,Phy
6850,SYK,4193,MDM2,Pos
140801,RPL10L,6158,RPL28,Phy
5747,PTK2,58,ACTA1,Phy
1196,CLK2,7533,YWHAH,Pos
6285,S100B,841,CASP8,Neg
650,BMP2,5728,PTEN,Neg
3725,JUN,3593,IL12B,Pos
1950,EGF,2263,FGFR2,Pos
5984,RFC4,5981,RFC1,Phy
137075,CLDN23,51208,CLDN18,Phy
8204,NRIP1,5914,RARA,Phy
5170,PDPK1,4089,SMAD4,Pos
1499,CTNNB1,3848,KRT1,Pos
23225,NUP210,6632,SNRPD1,Pos
3915,LAMC1,7534,YWHAZ,Phy
286151,FBXO43,991,CDC20,Neg
10399,GNB2L1,2904,GRIN2B,Neg
9612,NCOR2,5468,PPARG,Neg
5580,PRKCD,58494,JAM2,Pos
7161,TP73,5371,PML,Pos
6732,SRPK1,8576,STK16,Pos
3329,HSPD1,3586,IL10,Pos
3375,IAPP,351,APP,Neg
6230,RPS25,6191,RPS4X,Phy
5580,PRKCD,8398,PLA2G6,Pos
8892,EIF2B2,1967,EIF2B1,Phy
5705,PSMC5,991,CDC20,Pos
367,AR,984,CDK11B,Phy
6780,STAU1,51043,ZBTB7B,Pos
717,C2,718,C3,Pos
3020,H3F3A,5567,PRKACB,Phy
6357,CCL13,7852,CXCR4,Pos
10580,SORBS1,25,ABL1,Phy
22801,ITGA11,3688,ITGB1,Phy
6464,SHC1,1432,MAPK14,Pos
4843,NOS2,810,CALML3,Phy
5984,RFC4,84126,ATRIP,Phy
2782,GNB1,107,ADCY1,Neg
2042,EPHA3,6426,SFRS1,Pos
25932,CLIC4,7040,TGFB1,Pos
1520,CTSS,972,CD74,Pos
10454,MAP3K7IP1,7186,TRAF2,Phy
6402,SELL,1435,CSF1,Pos
5598,MAPK7,4209,MEF2D,Pos
5533,PPP3CC,4776,NFATC4,Pos
1111,CHEK1,9874,TLK1,Pos
8498,RANBP3,8313,AXIN2,Neg
2185,PTK2B,6282,S100A11,Pos
6229,RPS24,6224,RPS20,Phy
7422,VEGFA,5594,MAPK1,Pos
6156,RPL30,9020,MAP3K14,Phy
51081,MRPS7,6129,RPL7,Phy
948,CD36,471,ATIC,Pos
494551,WEE2,983,CDK1,Neg
1017,CDK2,650621,LOC650621,Neg
1021,CDK6,10980,COPS6,Pos
8651,SOCS1,3595,IL12RB2,Neg
51035,UBXN1,5721,PSME2,Phy
1398,CRK,2549,GAB1,Phy
3606,IL18,8807,IL18RAP,Phy
382,ARF6,5595,MAPK3,Pos
5709,PSMD3,7321,UBE2D1,Pos
4632,MYL1,29895,MYLPF,Phy
9883,POM121,9939,RBM8A,Pos
2357,FPR1,6351,CCL4,Phy
7867,MAPKAPK3,3315,HSPB1,Pos
5719,PSMD13,8454,CUL1,Pos
3091,HIF1A,2056,EPO,Pos
3484,IGFBP1,3479,IGF1,Pos
3439,IFNA1,3554,IL1R1,Pos
2537,IFI6,64695,SLEB3,Pos
10817,FRS3,3845,KRAS,Pos
2782,GNB1,427,ASAH1,Neg
2068,ERCC2,2072,ERCC4,Pos
3169,FOXA1,367,AR,Neg
652614,LOC652614,3822,KLRC2,Pos
7534,YWHAZ,995,CDC25C,Phy
51564,HDAC7,55806,HR,Phy
5684,PSMA3,5694,PSMB6,Phy
6844,VAMP2,6571,SLC18A2,Phy
7409,VAV1,5295,PIK3R1,Pos
5336,PLCG2,5535,PPP3R2,Pos
2099,ESR1,2781,GNAZ,Phy
23562,CLDN14,9076,CLDN1,Phy
2967,GTF2H3,2959,GTF2B,Phy
4790,NFKB1,7187,TRAF3,Pos
2908,NR3C1,3558,IL2,Neg
6191,RPS4X,6218,RPS17,Phy
6234,RPS28,8894,EIF2S2,Phy
3553,IL1B,51043,ZBTB7B,Pos
7533,YWHAH,2885,GRB2,Pos
2248,FGF3,6383,SDC2,Phy
6347,CCL2,1237,CCR8,Pos
2783,GNB2,57580,PREX1,Pos
3717,JAK2,5747,PTK2,Pos
6009,RHEB,5894,RAF1,Pos
6124,RPL4,6207,RPS13,Phy
567,B2M,3559,IL2RA,Pos
5295,PIK3R1,6198,RPS6KB1,Pos
9475,ROCK2,5962,RDX,Pos
5781,PTPN11,9846,GAB2,Phy
5663,PSEN1,5294,PIK3CG,Pos
29760,BLNK,6654,SOS1,Pos
3921,RPSA,5621,PRNP,Pos
5578,PRKCA,7533,YWHAH,Pos
2512,FTL,6128,RPL6,Phy
10097,ACTR2,10096,ACTR3,Phy
6146,RPL22,6176,RPLP1,Phy
4599,MX1,3439,IFNA1,Pos
8600,TNFSF11,2353,FOS,Pos
5699,PSMB10,6923,TCEB2,Pos
2247,FGF2,5290,PIK3CA,Pos
5695,PSMB7,11065,UBE2C,Pos
7058,THBS2,4052,LTBP1,Neg
841,CASP8,5609,MAP2K7,Pos
2688,GH1,5290,PIK3CA,Pos
5528,PPP2R5D,3021,H3F3B,Pos
836,CASP3,1499,CTNNB1,Pos
1965,EIF2S1,1967,EIF2B1,Phy
53615,MBD3,6615,SNAI1,Neg
2957,GTF2A1,2971,GTF3A,Phy
8665,EIF3F,8661,EIF3A,Phy
23511,NUP188,8487,SIP1,Pos
805,CALM2,817,CAMK2D,Pos
2185,PTK2B,2597,GAPDH,Pos
10014,HDAC5,79885,HDAC11,Phy
3447,IFNA13,5720,PSME1,Pos
29979,UBQLN1,29945,ANAPC4,Pos
1387,CREBBP,2648,KAT2A,Phy
5609,MAP2K7,140809,SRXN1,Pos
2247,FGF2,5159,PDGFRB,Pos
6128,RPL6,6142,RPL18A,Phy
156,ADRBK1,27306,HPGDS,Pos
2782,GNB1,23236,PLCB1,Pos
5439,POLR2J,5911,RAP2A,Phy
9669,EIF5B,6154,RPL26,Pos
8698,S1PR4,5594,MAPK1,Pos
151449,GDF7,659,BMPR2,Pos
51684,SUFU,5899,RALB,Phy
5708,PSMD2,6622,SNCA,Neg
11224,RPL35,6194,RPS6,Phy
8655,DYNLL1,22981,NINL,Phy
4791,NFKB2,9618,TRAF4,Pos
4855,NOTCH4,3516,RBPJ,Pos
6152,RPL24,6222,RPS18,Phy
51561,IL23A,3675,ITGA3,Pos
5515,PPP2CA,5526,PPP2R5B,Phy
2065,ERBB3,207,AKT1,Pos
6792,CDKL5,6196,RPS6KA2,Pos
5711,PSMD5,5685,PSMA4,Phy
80321,CEP70,10382,TUBB4,Phy
5595,MAPK3,4084,MXD1,Pos
9738,CP110,1778,DYNC1H1,Phy
1432,MAPK14,1978,EIF4EBP1,Neg
3626,INHBC,91,ACVR1B,Pos
23332,CLASP1,9662,CEP135,Phy
3549,IHH,7042,TGFB2,Pos
5770,PTPN1,1398,CRK,Neg
5074,PAWR,8803,SUCLA2,Pos
405,ARNT,135,ADORA2A,Pos
51343,FZR1,51343,FZR1,Pos
5601,MAPK9,4776,NFATC4,Neg
79902,NUP85,22916,NCBP2,Pos
63928,CHP2,51433,ANAPC5,Pos
5699,PSMB10,51529,ANAPC11,Pos
246184,CDC26,246184,CDC26,Phy
2908,NR3C1,3484,IGFBP1,Pos
6778,STAT6,3690,ITGB3,Pos
3458,IFNG,4296,MAP3K11,Pos
5587,PRKD1,7533,YWHAH,Pos
6348,CCL3,5294,PIK3CG,Pos
3725,JUN,58,ACTA1,Pos
23421,ITGB3BP,3691,ITGB4,Phy
1196,CLK2,51406,NOL7,Pos
11213,IRAK3,3556,IL1RAP,Neg
6670,SP3,7015,TERT,Neg
4018,LPA,9170,LPAR2,Pos
2534,FYN,6955,TRA@,Phy
5695,PSMB7,5699,PSMB10,Phy
207,AKT1,2033,EP300,Pos
5228,PGF,3480,IGF1R,Pos
3717,JAK2,9846,GAB2,Pos
1432,MAPK14,4209,MEF2D,Pos
50818,PKC,1956,EGFR,Neg
4880,NPPC,4882,NPR2,Pos
2335,FN1,1437,CSF2,Neg
3908,LAMA2,3655,ITGA6,Pos
7319,UBE2A,2557,GABRA4,Pos
653,BMP5,1482,NKX2-5,Pos
3694,ITGB6,5829,PXN,Phy
8807,IL18RAP,729230,CCR2,Pos
3908,LAMA2,2017,CTTN,Pos
3557,IL1RN,11213,IRAK3,Neg
3725,JUN,5447,POR,Pos
3661,IRF3,5300,PIN1,Phy
4088,SMAD3,5308,PITX2,Pos
23387,SIK3,7532,YWHAG,Phy
8894,EIF2S2,7314,UBB,Pos
220001,VWCE,1499,CTNNB1,Pos
10497,UNC13B,6616,SNAP25,Pos
6142,RPL18A,6170,RPL39,Phy
8636,SSNA1,1778,DYNC1H1,Phy
5058,PAK1,5518,PPP2R1A,Pos
10420,TESK2,56957,OTUD7B,Pos
6373,CXCL11,1230,CCR1,Pos
7706,TRIM25,1019,CDK4,Pos
5781,PTPN11,6387,CXCL12,Phy
8870,IER3,5594,MAPK1,Pos
6210,RPS15A,6234,RPS28,Phy
10010,TANK,64343,AZI2,Phy
8870,IER3,2670,GFAP,Pos
823,CAPN1,3689,ITGB2,Neg
4086,SMAD1,4093,SMAD9,Phy
51081,MRPS7,6147,RPL23A,Phy
6141,RPL18,6194,RPS6,Phy
4734,NEDD4,3815,KIT,Neg
1280,COL2A1,3673,ITGA2,Pos
91754,NEK9,7791,ZYX,Pos
6777,STAT5B,898,CCNE1,Pos
2099,ESR1,4089,SMAD4,Phy
8243,SMC1A,10274,STAG1,Phy
3690,ITGB3,9564,BCAR1,Phy
598,BCL2L1,596,BCL2,Pos
2512,FTL,6146,RPL22,Phy
572,BAD,836,CASP3,Pos
3451,IFNA17,3454,IFNAR1,Phy
2060,EPS15,3480,IGF1R,Phy
7341,SUMO1,4193,MDM2,Pos
51567,TTRAP,4790,NFKB1,Neg
11047,ADRM1,5716,PSMD10,Phy
1081,CGA,7253,TSHR,Pos
5696,PSMB8,5707,PSMD1,Phy
6778,STAT6,57379,AICDA,Pos
1387,CREBBP,1387,CREBBP,Phy
154064,RAET1L,22914,KLRK1,Pos
51564,HDAC7,83933,HDAC10,Phy
59330,GER,3423,IDS,Pos
6122,RPL3,6231,RPS26,Phy
1147,CHUK,3326,HSP90AB1,Phy
247,ALOX15B,6654,SOS1,Pos
7409,VAV1,9846,GAB2,Phy
11186,RASSF1,1027,CDKN1B,Pos
9560,CCL4L1,1232,CCR3,Pos
1440,CSF3,3502,IGHG3,Pos
6865,TACR2,2776,GNAQ,Pos
51100,SH3GLB1,1956,EGFR,Pos
5058,PAK1,1487,CTBP1,Pos
5501,PPP1CC,5257,PHKB,Neg
8767,RIPK2,11124,FAF1,Neg
10188,TNK2,4188,MDFI,Pos
3320,HSP90AA1,22897,CEP164,Phy
4486,MST1R,6464,SHC1,Phy
5594,MAPK1,56957,OTUD7B,Pos
324,APC,5111,PCNA,Neg
867,CBL,3681,ITGAD,Neg
5566,PRKACA,3398,ID2,Pos
1028,CDKN1C,1019,CDK4,Neg
59284,CACNG7,59283,CACNG8,Phy
6416,MAP2K4,2017,CTTN,Pos
84329,HVCN1,2153,F5,Neg
5579,PRKCB,5465,PPARA,Pos
30835,CD209,4306,NR3C2,Neg
3643,INSR,5590,PRKCZ,Pos
22798,LAMB4,1605,DAG1,Pos
9212,AURKB,867,CBL,Pos
1051,CEBPB,1051,CEBPB,Pos
1902,AP1S2,5338,PLD2,Pos
3684,ITGAM,5329,PLAUR,Phy
6193,RPS5,6223,RPS19,Phy
6382,SDC1,682,BSG,Phy
5566,PRKACA,1781,DYNC1I2,Phy
4686,NCBP1,22916,NCBP2,Phy
11261,CHP,10393,ANAPC10,Pos
775,CACNA1C,785,CACNB4,Phy
177,AGER,4790,NFKB1,Pos
1906,EDN1,196883,ADCY4,Pos
4149,MAX,57678,GPAM,Pos
868,CBLB,50615,IL21R,Neg
2318,FLNC,3690,ITGB3,Phy
5693,PSMB5,5699,PSMB10,Phy
64682,ANAPC1,8924,HERC2,Phy
7408,VASP,7791,ZYX,Phy
5566,PRKACA,3690,ITGB3,Pos
5564,PRKAB1,7422,VEGFA,Neg
131873,COL6A6,8515,ITGA10,Pos
1968,EIF2S3,51081,MRPS7,Phy
3443,IFNA6,3454,IFNAR1,Phy
660,BMX,1975,EIF4B,Pos
4751,NEK2,9112,MTA1,Pos
2213,FCGR2B,5921,RASA1,Phy
10325,RRAGB,64223,MLST8,Neg
6192,RPS4Y1,6227,RPS21,Phy
10987,COPS5,4312,MMP1,Pos
4690,NCK1,9448,MAP4K4,Pos
27124,INPP5J,7275,TUB,Phy
50616,IL22,6776,STAT5A,Pos
834,CASP1,1973,EIF4A1,Pos
10544,PROCR,2011,MARK2,Pos
5688,PSMA7,7324,UBE2E1,Pos
2255,FGF10,2263,FGFR2,Phy
5305,PIP4K2A,89,ACTN3,Phy
5747,PTK2,1025,CDK9,Pos
10325,RRAGB,84335,AKT1S1,Neg
9655,SOCS5,3459,IFNGR1,Neg
55114,ARHGAP17,998,CDC42,Neg
5196,PF4,2781,GNAZ,Pos
220296,HEPACAM,2670,GFAP,Pos
6093,ROCK1,8395,PIP5K1B,Pos
3039,HBA1,6142,RPL18A,Phy
8751,ADAM15,3690,ITGB3,Pos
22981,NINL,5518,PPP2R1A,Phy
3566,IL4R,6778,STAT6,Pos
3674,ITGA2B,5771,PTPN2,Pos
1906,EDN1,5972,REN,Pos
51564,HDAC7,8932,MBD2,Phy
836,CASP3,1677,DFFB,Pos
4659,PPP1R12A,4619,MYH1,Pos
7186,TRAF2,8567,MADD,Phy
5602,MAPK10,6301,SARS,Pos
8655,DYNLL1,203068,TUBB,Phy
2868,GRK4,10663,CXCR6,Pos
11116,FGFR1OP,10733,PLK4,Phy
5578,PRKCA,5747,PTK2,Pos
5594,MAPK1,5573,PRKAR1A,Pos
231,AKR1B1,5243,ABCB1,Pos
95681,TSGA14,10383,TUBB2C,Phy
6734,SRPR,6729,SRP54,Pos
2274,FHL2,3673,ITGA2,Phy
6452,SH3BP2,919,CD247,Phy
1499,CTNNB1,6934,TCF7L2,Pos
50616,IL22,58985,IL22RA1,Pos
2791,GNG11,5330,PLCB2,Pos
1950,EGF,5296,PIK3R2,Pos
4773,NFATC2,1493,CTLA4,Pos
80254,CEP63,10382,TUBB4,Phy
197131,UBR1,5683,PSMA2,Phy
10616,RBCK1,7124,TNF,Neg
6885,MAP3K7,5606,MAP2K3,Pos
55824,PAG1,1445,CSK,Neg
5707,PSMD1,5716,PSMD10,Phy
814,CAMK4,6722,SRF,Neg
8626,TP63,675,BRCA2,Pos
3576,IL8,1235,CCR6,Pos
83732,RIOK1,4194,MDM4,Pos
23225,NUP210,6628,SNRPB,Pos
10109,ARPC2,60,ACTB,Phy
27338,UBE2S,23113,CUL9,Phy
5430,POLR2A,5434,POLR2E,Phy
8320,EOMES,3458,IFNG,Pos
2886,GRB7,3643,INSR,Phy
143471,PSMA8,8454,CUL1,Pos
5156,PDGFRA,5335,PLCG1,Phy
23566,LPAR3,5295,PIK3R1,Pos
9702,CEP57,10806,SDCCAG8,Phy
1950,EGF,3845,KRAS,Pos
29110,TBK1,3315,HSPB1,Pos
5594,MAPK1,4982,TNFRSF11B,Pos
2185,PTK2B,3055,HCK,Pos
7027,TFDP1,7029,TFDP2,Phy
2547,XRCC6,27434,POLM,Phy
148022,TICAM1,7189,TRAF6,Pos
56477,CCL28,2826,CCR10,Pos
