Human Signaling Network,16-Jan-14,,,
3911,LAMA5,3694,ITGB6,Pos
2549,GAB1,25759,SHC2,Phy
2735,GLI1,5727,PTCH1,Pos
22995,CEP152,7532,YWHAG,Phy
23332,CLASP1,80184,CEP290,Phy
10914,PAPOLA,5966,REL,Phy
2444,FRK,8607,RUVBL1,Pos
2516,NR5A1,367,AR,Phy
3984,LIMK1,3984,LIMK1,Pos
5621,PRNP,836,CASP3,Pos
3726,JUNB,865,CBFB,Pos
5438,POLR2I,2963,GTF2F2,Phy
23512,SUZ12,3021,H3F3B,Neg
207,AKT1,55256,ADI1,Pos
6714,SRC,7430,EZR,Phy
3439,IFNA1,3930,LBR,Pos
6634,SNRPD3,6637,SNRPG,Phy
22995,CEP152,7283,TUBG1,Phy
2735,GLI1,9788,MTSS1,Phy
53944,CSNK1G1,140809,SRXN1,Pos
5743,PTGS2,9584,RBM39,Pos
8795,TNFRSF10B,4214,MAP3K1,Pos
8637,EIF4EBP3,1977,EIF4E,Pos
2419,FRA8B,4843,NOS2,Pos
6130,RPL7A,6143,RPL19,Phy
6122,RPL3,6181,RPLP2,Phy
5970,RELA,2195,FAT1,Neg
2770,GNAI1,920,CD4,Neg
7532,YWHAG,10971,YWHAQ,Pos
122809,SOCS4,163702,IL28RA,Neg
3630,INS,5584,PRKCI,Pos
4316,MMP7,4313,MMP2,Pos
1543,CYP1A1,196,AHR,Neg
23468,CBX5,4089,SMAD4,Neg
2316,FLNA,3689,ITGB2,Phy
5900,RALGDS,22800,RRAS2,Pos
369,ARAF,9112,MTA1,Pos
2908,NR3C1,56729,RETN,Neg
6387,CXCL12,10803,CCR9,Pos
5528,PPP2R5D,1499,CTNNB1,Neg
10928,RALBP1,998,CDC42,Neg
6597,SMARCA4,6602,SMARCD1,Phy
3688,ITGB1,81,ACTN4,Phy
825,CAPN3,2318,FLNC,Pos
4688,NCF2,50506,DUOX2,Pos
25929,GEMIN5,79760,GEMIN7,Phy
58513,EPS15L1,2060,EPS15,Pos
3977,LIFR,3718,JAK3,Pos
3875,KRT18,9063,PIAS2,Phy
4763,NF1,6872,TAF1,Pos
8913,CACNA1G,5494,PPM1A,Phy
4628,MYH10,646821,LOC646821,Phy
51588,PIAS4,8819,SAP30,Phy
2185,PTK2B,30820,KCNIP1,Pos
10197,PSME3,5696,PSMB8,Phy
6772,STAT1,3627,CXCL10,Pos
6670,SP3,3693,ITGB5,Pos
7507,XPA,2068,ERCC2,Pos
23624,CBLC,2066,ERBB4,Neg
4790,NFKB1,7128,TNFAIP3,Pos
5436,POLR2G,2965,GTF2H1,Phy
29108,PYCARD,9447,AIM2,Phy
5437,POLR2H,661,POLR3D,Phy
5465,PPARA,34,ACADM,Pos
1796,DOK1,3055,HCK,Phy
891,CCNB1,7465,WEE1,Pos
2042,EPHA3,3059,HCLS1,Pos
2324,FLT4,27124,INPP5J,Pos
613,BCR,868,CBLB,Pos
5694,PSMB6,8945,BTRC,Pos
2775,GNAO1,2782,GNB1,Phy
7850,IL1R2,836,CASP3,Pos
3055,HCK,80310,PDGFD,Pos
