3315,HSPB1,8697,CDC23,Pos
2897,GRIK1,79571,GCC1,Phy
6288,SAA1,3576,IL8,Pos
1147,CHUK,3665,IRF7,Pos
3911,LAMA5,3694,ITGB6,Pos
2549,GAB1,25759,SHC2,Phy
2735,GLI1,5727,PTCH1,Pos
22995,CEP152,7532,YWHAG,Phy
23332,CLASP1,80184,CEP290,Phy
2444,FRK,8607,RUVBL1,Pos
2516,NR5A1,367,AR,Phy
3984,LIMK1,3984,LIMK1,Pos
5621,PRNP,836,CASP3,Pos
3726,JUNB,865,CBFB,Pos
6714,SRC,7430,EZR,Phy
6634,SNRPD3,6637,SNRPG,Phy
22995,CEP152,7283,TUBG1,Phy
53944,CSNK1G1,140809,SRXN1,Pos
5743,PTGS2,9584,RBM39,Pos
8795,TNFRSF10B,4214,MAP3K1,Pos
5970,RELA,2195,FAT1,Neg
2770,GNAI1,920,CD4,Neg
7532,YWHAG,10971,YWHAQ,Pos
122809,SOCS4,163702,IL28RA,Neg
3630,INS,5584,PRKCI,Pos
4316,MMP7,4313,MMP2,Pos
2316,FLNA,3689,ITGB2,Phy
5900,RALGDS,22800,RRAS2,Pos
369,ARAF,9112,MTA1,Pos
2908,NR3C1,56729,RETN,Neg
6387,CXCL12,10803,CCR9,Pos
5528,PPP2R5D,1499,CTNNB1,Neg
10928,RALBP1,998,CDC42,Neg
6597,SMARCA4,6602,SMARCD1,Phy
3688,ITGB1,81,ACTN4,Phy
25929,GEMIN5,79760,GEMIN7,Phy
58513,EPS15L1,2060,EPS15,Pos
3977,LIFR,3718,JAK3,Pos
3875,KRT18,9063,PIAS2,Phy
4763,NF1,6872,TAF1,Pos
10197,PSME3,5696,PSMB8,Phy
6772,STAT1,3627,CXCL10,Pos
6670,SP3,3693,ITGB5,Pos
7507,XPA,2068,ERCC2,Pos
23624,CBLC,2066,ERBB4,Neg
4790,NFKB1,7128,TNFAIP3,Pos
5465,PPARA,34,ACADM,Pos
1796,DOK1,3055,HCK,Phy
891,CCNB1,7465,WEE1,Pos
2042,EPHA3,3059,HCLS1,Pos
2324,FLT4,27124,INPP5J,Pos
613,BCR,868,CBLB,Pos
5694,PSMB6,8945,BTRC,Pos
2775,GNAO1,2782,GNB1,Phy
3055,HCK,80310,PDGFD,Pos
25759,SHC2,3559,IL2RA,Phy
836,CASP3,3908,LAMA2,Pos
5037,PEBP1,4792,NFKBIA,Neg
1869,E2F1,5925,RB1,Pos
5934,RBL2,7027,TFDP1,Phy
6207,RPS13,8661,EIF3A,Phy
5156,PDGFRA,25759,SHC2,Pos
129401,NUP35,53981,CPSF2,Pos
80233,C17orf70,2189,FANCG,Pos
629,CFB,156,ADRBK1,Pos
5603,MAPK13,4205,MEF2A,Pos
7337,UBE3A,9861,PSMD6,Phy
5567,PRKACB,5908,RAP1B,Pos
2688,GH1,1154,CISH,Pos
5595,MAPK3,5580,PRKCD,Phy
4089,SMAD4,1387,CREBBP,Pos
915,CD3D,3105,HLA-A,Phy
5718,PSMD12,5887,RAD23B,Phy
7316,UBC,7314,UBB,Phy
3679,ITGA7,55742,PARVA,Phy
3676,ITGA4,55742,PARVA,Phy
30009,TBX21,6775,STAT4,Neg
6198,RPS6KB1,253260,RICTOR,Pos
5520,PPP2R2A,5584,PRKCI,Neg
920,CD4,941,CD80,Pos
6093,ROCK1,4620,MYH2,Pos
1026,CDKN1A,5544,PRB3,Neg
7341,SUMO1,7332,UBE2L3,Pos
5879,RAC1,2242,FES,Pos
2908,NR3C1,4312,MMP1,Neg
10451,VAV3,5293,PIK3CD,Phy
7424,VEGFC,2321,FLT1,Pos
5048,PAFAH1B1,10142,AKAP9,Phy
998,CDC42,5058,PAK1,Pos
5116,PCNT,9814,SFI1,Phy
5747,PTK2,5335,PLCG1,Pos
3932,LCK,25759,SHC2,Pos
5336,PLCG2,50487,PLA2G3,Pos
1308,COL17A1,5339,PLEC,Phy
22798,LAMB4,22801,ITGA11,Pos
8738,CRADD,8772,FADD,Phy
9320,TRIP12,6555,SLC10A2,Phy
5777,PTPN6,3454,IFNAR1,Neg
10382,TUBB4,23236,PLCB1,Pos
10451,VAV3,5335,PLCG1,Phy
5563,PRKAA2,2475,MTOR,Neg
3952,LEP,5565,PRKAB2,Pos
9655,SOCS5,3563,IL3RA,Neg
801,CALM1,814,CAMK4,Phy
27040,LAT,11184,MAP4K1,Phy
2066,ERBB4,6455,SH3GL1,Phy
3663,IRF5,6348,CCL3,Pos
23165,NUP205,3837,KPNB1,Pos
10006,ABI1,10093,ARPC4,Pos
673,BRAF,2810,SFN,Pos
3717,JAK2,3597,IL13RA1,Phy
56924,PAK6,9459,ARHGEF6,Pos
10454,MAP3K7IP1,8717,TRADD,Phy
2353,FOS,2939,GSTA2,Pos
9846,GAB2,6777,STAT5B,Pos
5584,PRKCI,84612,PARD6B,Phy
85366,MYLK2,5599,MAPK8,Pos
2792,GNGT1,5291,PIK3CB,Pos
355,FAS,5608,MAP2K6,Pos
2253,FGF8,2261,FGFR3,Phy
6714,SRC,5293,PIK3CD,Pos
95681,TSGA14,8481,OFD1,Phy
1906,EDN1,5331,PLCB3,Phy
2002,ELK1,2005,ELK4,Phy
2049,EPHB3,2049,EPHB3,Pos
5881,RAC3,57144,PAK7,Pos
4040,LRP6,1499,CTNNB1,Neg
580,BARD1,5932,RBBP8,Phy
3694,ITGB6,5515,PPP2CA,Phy
10681,GNB5,2769,GNA15,Phy
7709,ZBTB17,6352,CCL5,Neg
3910,LAMA4,3696,ITGB8,Pos
5465,PPARA,1622,DBI,Pos
4168,MCF2,5879,RAC1,Pos
5829,PXN,823,CAPN1,Phy
23624,CBLC,2534,FYN,Neg
3565,IL4,290,ANPEP,Pos
3551,IKBKB,8660,IRS2,Neg
10401,PIAS3,2033,EP300,Phy
10657,KHDRBS1,867,CBL,Phy
23385,NCSTN,10782,ZNF274,Neg
5527,PPP2R5C,572,BAD,Pos
3680,ITGA9,3695,ITGB7,Phy
5714,PSMD8,9320,TRIP12,Phy
6628,SNRPB,6637,SNRPG,Phy
3932,LCK,259230,SGMS1,Pos
2258,FGF13,2260,FGFR1,Phy
7157,TP53,7319,UBE2A,Phy
1677,DFFB,3146,HMGB1,Pos
